hotelName,attractionsNearby,reviewWords,reviewStars,address,latitude,longitude,review,accommodationCapacity,budget,typeOfStay,stayPreference,foodPreference,starRating,facilities,checkInTime,checkOutTime
"Fortune Resort Sullivan Court, Ooty - Member ITC's Hotel Group","['Botanical Gardens', 'Thread Garden', 'Ooty Lake']",Poor,1,"Near, 123 Selbourne Road, Garden Rd, Rose Garden Road, Ooty (Udhagamandalam), Tamil Nadu 643001",11.40534401,76.70687866,Left much to be desired. I wouldn't stay here again.,1,5846,Single,Boys,Non-Veg,5,"['Free WiFi', '24-hour front desk', 'Gym', 'Free parking', 'Restaurant', 'Spa', 'Swimming Pool', 'Bar', 'Airport Shuttle']",10:00 AM,1:00 PM
Savoy - IHCL SeleQtions,"['Ooty Lake', 'Doddabetta Peak', 'Wax World Museum', 'Botanical Gardens', 'Thread Garden', 'Rose Garden']",Good,3,"77, Sylks Road, Ooty, Tamil Nadu 643001",11.41496658,76.69285583,Good value for the price. I was quite satisfied.,4,6551,Single,Boys,Veg Only,5,"['Free WiFi', '24-hour front desk', 'Gym', 'Free parking', 'Restaurant', 'Spa', 'Swimming Pool', 'Bar', 'Airport Shuttle']",10:00 AM,3:00 PM
Vinayaga Inn by Poppys,"['Thread Garden', 'Botanical Gardens', 'Doddabetta Peak', 'Wax World Museum', 'Rose Garden']",Excellent,5,"36-C, Garden Road, Udhagamandalam, Tamil Nadu 643001",11.41524506,76.7096405,"Exemplary service, accommodations, and atmosphere.",4,7195,Single,Mixed,Non-Veg,5,"['Free WiFi', '24-hour front desk', 'Gym', 'Free parking', 'Restaurant', 'Spa', 'Swimming Pool', 'Bar', 'Airport Shuttle']",11:00 AM,1:00 PM
Aakash Rooms And Cottages,"['Rose Garden', 'Wax World Museum', 'Thread Garden', 'Doddabetta Peak', 'Ooty Lake', 'Botanical Gardens']",Fair,2,"380, Peytons Hill Rd, Ooty (Udhagamandalam), Tamil Nadu 643001",11.41295624,76.69676971,"Fair, but there's a lot of room for improvement.",3,5719,Family,Girls,Mixed,5,"['Free WiFi', '24-hour front desk', 'Gym', 'Free parking', 'Restaurant', 'Spa', 'Swimming Pool', 'Bar', 'Airport Shuttle']",10:00 AM,1:00 PM
Hotel Silver Oak,['Botanical Gardens'],Good,3,"Ettiness Road, Near Alankar Theatre, Bombay Castle, Ooty, Tamil Nadu 643001",11.40863895,76.70874023,"Enjoyed my stay, though there's room for improvement.",3,8479,Couple,Mixed,Non-Veg,4,"['Free WiFi', '24-hour front desk', 'Gym', 'Free parking', 'Restaurant', 'Spa', 'Swimming Pool', 'Bar', 'Airport Shuttle']",11:00 AM,1:00 PM
Orchid Square A Boutique Hotel,"['Botanical Gardens', 'Wax World Museum', 'Ooty Lake', 'Thread Garden', 'Rose Garden']",Excellent,5,"Brooklands Roadopp.TO CMS, Coonoor, Nilgiris, Tamil Nadu 643101",11.41306686,76.6904068,Beyond excellent. This place sets the standard.,2,7806,Couple,Girls,Veg Only,5,"['Free WiFi', '24-hour front desk', 'Gym', 'Free parking', 'Restaurant', 'Spa', 'Swimming Pool', 'Bar', 'Airport Shuttle']",12:00 AM,3:00 PM
Meadows Residency,"['Ooty Lake', 'Doddabetta Peak', 'Wax World Museum', 'Thread Garden']",Excellent,5,"Charring Cross, P.O. Box, Coonoor Road, Ooty 643001",11.41116238,76.71103668,"Incredible experience, can't wait to come back!",2,5005,Single,Girls,Veg Only,5,"['Free WiFi', '24-hour front desk', 'Gym', 'Free parking', 'Restaurant', 'Spa', 'Swimming Pool', 'Bar', 'Airport Shuttle']",11:00 AM,1:00 PM
The Woodlands Residency- Unmarried and stag groups not allowed,['Thread Garden'],Fair,2,"Ooty Charing Cross Near Alankar Theatre, Ooty 643006",11.40615654,76.70909882,"Acceptable, but I hope for improvements next time.",1,9156,Single,Girls,Mixed,5,"['Free WiFi', '24-hour front desk', 'Gym', 'Free parking', 'Restaurant', 'Spa', 'Swimming Pool', 'Bar', 'Airport Shuttle']",12:00 AM,1:00 PM
FabHotel Sholas Residency I - Hotel on Shoram Palace Road,"['Doddabetta Peak', 'Wax World Museum']",Very Good,4,"Shoreham Palace Road, Ooty, Tamil Nadu 643001",11.41002178,76.70954895,Exceptionally good. A few steps from being perfect.,3,5807,Family,Girls,Veg Only,4,"['Free WiFi', '24-hour front desk', 'Gym', 'Free parking', 'Restaurant', 'Spa', 'Swimming Pool', 'Bar', 'Airport Shuttle']",10:00 AM,2:00 PM
Hotel Sunpark Grand,"['Ooty Lake', 'Doddabetta Peak', 'Thread Garden', 'Wax World Museum', 'Botanical Gardens']",Poor,1,"168/p2, Church Hill Road, Charring Cross, Ooty, Tamil Nadu 643001",11.41267681,76.70475006,Quite unsatisfactory. Needs a lot of improvement.,4,9657,Couple,Boys,Non-Veg,4,"['Free WiFi', '24-hour front desk', 'Gym', 'Free parking', 'Restaurant', 'Spa', 'Swimming Pool', 'Bar', 'Airport Shuttle']",10:00 AM,1:00 PM
SK Residency,"['Ooty Lake', 'Thread Garden', 'Wax World Museum']",Very Good,4,"Ettiness Road, Ooty, Tamil Nadu 643002",11.40739059,76.70623016,"Surprisingly good, with excellent service and facilities.",3,7583,Family,Boys,Non-Veg,5,"['Free WiFi', '24-hour front desk', 'Gym', 'Free parking', 'Restaurant', 'Spa', 'Swimming Pool', 'Bar', 'Airport Shuttle']",11:00 AM,2:00 PM
FabEscape Saint Clouds,"['Rose Garden', 'Thread Garden']",Poor,1,"St.Clouds, Behind Sacred Heart Church, Old Garden Road, (old PNB Holiday Home) Bandishola, Ooty, Tamil Nadu 643001",11.41847515,76.70837402,Quite unsatisfactory. Needs a lot of improvement.,1,6257,Couple,Girls,Mixed,4,"['Free WiFi', '24-hour front desk', 'Gym', 'Free parking', 'Restaurant', 'Spa', 'Swimming Pool', 'Bar', 'Airport Shuttle']",12:00 AM,1:00 PM
Gem Park Ooty,"['Rose Garden', 'Thread Garden', 'Wax World Museum', 'Botanical Gardens', 'Ooty Lake', 'Doddabetta Peak']",Excellent,5,"Sheddon Road, Opp Mountain View Hotel, Ooty, Tamil Nadu 643001",11.42054272,76.7039032,Outstanding service and quality in every aspect.,1,1277,Single,Boys,Non-Veg,5,"['Free WiFi', '24-hour front desk']",10:00 AM,2:00 PM
The Majestic Crown,"['Botanical Gardens', 'Rose Garden', 'Ooty Lake', 'Wax World Museum', 'Thread Garden']",Excellent,5,"959 Westbury Road Mysore Road, Ooty (Udhagamandalam), Tamil Nadu 643001",11.41324615,76.70167542,The epitome of luxury and service. Simply the best.,4,2972,Couple,Mixed,Veg Only,4,"['Free WiFi', '24-hour front desk']",12:00 AM,1:00 PM
Astoria Residency,['Doddabetta Peak'],Very Good,4,"NO 171, Church Hill Road, Ootacamund, Nilgiris, Tamil Nadu 643001",11.41323662,76.70437622,Very satisfied with my stay. Exceeded expectations.,4,1972,Family,Boys,Mixed,5,"['Free WiFi', '24-hour front desk']",12:00 AM,2:00 PM
al Woodlands Residency,['Wax World Museum'],Poor,1,"123-p Rose Garden Bombay Castel, Ooty (Udhagamandalam), Tamil Nadu 643001",11.40571404,76.70965576,The worst hotel experience I've had in a long time.,4,2157,Family,Mixed,Non-Veg,1,"['Free WiFi', '24-hour front desk']",10:00 AM,1:00 PM
Ponmari Residencyy,"['Rose Garden', 'Wax World Museum', 'Ooty Lake', 'Thread Garden', 'Doddabetta Peak', 'Botanical Gardens']",Excellent,5,"26 Kotagiri Road, Ooty, Tamil Nadu 643001",11.41483021,76.71134949,A flawless stay. They really pay attention to detail.,3,1577,Single,Boys,Veg Only,4,"['Free WiFi', '24-hour front desk']",10:00 AM,3:00 PM
Hotel Preethi Palace,"['Ooty Lake', 'Botanical Gardens', 'Rose Garden', 'Thread Garden', 'Wax World Museum']",Good,3,"Ettines Road, Elk Hill, Ooty, Tamil Nadu",11.41077995,76.70901489,Good value for the price. I was quite satisfied.,1,2652,Family,Girls,Veg Only,2,"['Free WiFi', '24-hour front desk']",12:00 AM,3:00 PM
Hotel Maneck Residency,"['Botanical Gardens', 'Wax World Museum', 'Thread Garden']",Poor,1,"542, Lower Bazaar, Ooty, Nilgiris",11.40460587,76.70121765,"So bad, I checked out earlier than planned.",2,1989,Family,Mixed,Non-Veg,1,"['Free WiFi', '24-hour front desk']",10:00 AM,1:00 PM
FabExpress Ooty Residency,"['Rose Garden', 'Botanical Gardens', 'Thread Garden']",Good,3,"190/A-19, Hill Bunk, Club Road, Ooty",11.41321754,76.6971817,"Pretty good experience overall, would come back.",3,1841,Couple,Girls,Veg Only,2,"['Free WiFi', '24-hour front desk']",10:00 AM,3:00 PM
FabExpress Wenlock Homes - Hotel in Coonoor Rd,"['Doddabetta Peak', 'Wax World Museum', 'Ooty Lake', 'Botanical Gardens']",Fair,2,"Nagapattinam - Coimbatore - Gundlupet Highway, Stone House Area, Bombay Castel, Ooty",11.40988827,76.71087646,Mediocre at best. I had higher expectations.,3,2147,Single,Girls,Non-Veg,2,"['Free WiFi', '24-hour front desk']",10:00 AM,2:00 PM
Sapphire luxury Suites,"['Doddabetta Peak', 'Rose Garden', 'Thread Garden']",Very Good,4,"Church Hill Road, 643001 Udagamandalam, Indien, Church Hill Road",11.41246128,76.70455933,Thoroughly enjoyed my visit. Will be back for sure.,3,1985,Couple,Mixed,Mixed,5,"['Free WiFi', '24-hour front desk']",10:00 AM,2:00 PM
Rainbow Cottages,['Botanical Gardens'],Very Good,4,"Mysore Main Road Near Hill Bunk, Ooty (Udhagamandalam)",11.41412067,76.70027161,Highly commendable! They’ve got most things right.,3,2551,Family,Boys,Veg Only,5,"['Free WiFi', '24-hour front desk']",10:00 AM,1:00 PM
Church Hill Cottage,"['Thread Garden', 'Wax World Museum', 'Ooty Lake', 'Rose Garden', 'Doddabetta Peak', 'Botanical Gardens']",Poor,1,"72 Church Hill Lane, Ooty",11.41349125,76.70567322,"Had a lot of issues, wouldn't recommend.",2,2015,Couple,Mixed,Mixed,1,"['Free WiFi', '24-hour front desk']",11:00 AM,2:00 PM
EDEN Paradisee,"['Rose Garden', 'Thread Garden', 'Ooty Lake', 'Botanical Gardens', 'Doddabetta Peak', 'Wax World Museum']",Fair,2,"Shoreham Palace Road, Near Vijaya Hospital, Ooty, Tamil Nadu",11.40953827,76.70985413,"Decent, but I wouldn’t rush back.",2,1380,Couple,Girls,Mixed,2,"['Free WiFi', '24-hour front desk']",12:00 AM,2:00 PM
The Grange was a house,"['Thread Garden', 'Rose Garden', 'Botanical Gardens', 'Wax World Museum', 'Ooty Lake']",Very Good,4,"Glanton Hall Coonoor Road, Ooty (Udhagamandalam)",11.41012573,76.71170044,"Surprisingly good, with excellent service and facilities.",4,2337,Family,Girls,Non-Veg,4,"['Free WiFi', '24-hour front desk']",12:00 AM,3:00 PM
Anmol’s Peace Home stay,['Botanical Gardens'],Fair,2,"54/1 54/2 Near Sulivan Court, Ooty",11.40388012,76.70626068,"An average experience, was expecting something better.",2,1587,Single,Boys,Mixed,3,"['Free WiFi', '24-hour front desk']",11:00 AM,2:00 PM
OYO 10950 Hotel Hills Palace,"['Wax World Museum', 'Ooty Lake']",Good,3,"43810, Commercial Road, Charing Cross, Udagamandalm, Ooty",11.41014957,76.70678711,Good value for the price. I was quite satisfied.,2,1279,Family,Boys,Veg Only,2,"['Free WiFi', '24-hour front desk']",11:00 AM,1:00 PM
Hotel Nilgiris Inn,"['Botanical Gardens', 'Wax World Museum', 'Ooty Lake', 'Doddabetta Peak']",Excellent,5,"D No 183/B3, Ettines Road, Opp to Race Course., Anna Nagar, Ooty",11.4014616,76.70191956,"Perfect in every way, highly recommend!",4,2060,Couple,Girls,Mixed,4,"['Free WiFi', '24-hour front desk']",12:00 AM,2:00 PM
Hotel Jupiter Tamilnadu,"['Botanical Gardens', 'Thread Garden', 'Ooty Lake']",Good,3,"Ooty Road Tamilnadu, Ooty",11.41246128,76.70455933,"Good place to stay, met my expectations.",2,1430,Family,Mixed,Veg Only,3,"['Free WiFi', '24-hour front desk']",11:00 AM,1:00 PM
Hotel Sapphire Grand Ooty,"['Botanical Gardens', 'Wax World Museum', 'Thread Garden', 'Doddabetta Peak', 'Ooty Lake']",Very Good,4,"171/4 Hotel Sapphire Grand Ooty Ooty Church Hill Road, Nilgiris",11.41313076,76.70559692,"Really enjoyed my stay, would definitely recommend!",4,1812,Family,Mixed,Veg Only,4,"['Free WiFi', '24-hour front desk']",12:00 AM,3:00 PM
Oriental Grand,"['Ooty Lake', 'Rose Garden']",Poor,1,"First Cross Road, Ooty (Udhagamandalam)",11.40983868,76.70581818,Not at all what I was expecting. Very poor quality.,1,1623,Single,Mixed,Mixed,1,"['Free WiFi', '24-hour front desk']",11:00 AM,3:00 PM
Hotel Tamilnadu Ooty I,"['Botanical Gardens', 'Doddabetta Peak', 'Rose Garden', 'Ooty Lake', 'Thread Garden']",Poor,1,"Charing Cross Road, Ooty (Udhagamandalam)",11.41162968,76.70677185,Terrible experience overall. Avoid at all costs.,4,2330,Couple,Mixed,Non-Veg,1,"['Free WiFi', '24-hour front desk']",12:00 AM,2:00 PM
Blue Hills International,"['Ooty Lake', 'Wax World Museum']",Poor,1,"Hospital Road, Near State Bank of India, Ooty",11.41151047,76.70328522,Not at all what I was expecting. Very poor quality.,2,2724,Family,Mixed,Mixed,1,"['Free WiFi', '24-hour front desk']",11:00 AM,2:00 PM
Super OYO Capital O Hotel Hills Palace,"['Doddabetta Peak', 'Wax World Museum']",Good,3,"12/11, Commercial Road, Charing Cross, Udagamandalm, Ooty",11.4101696,76.70678711,"Good place to stay, met my expectations.",3,1132,Couple,Girls,Veg Only,2,"['Free WiFi', '24-hour front desk']",12:00 AM,1:00 PM
Hotel Blue Hills International,['Doddabetta Peak'],Very Good,4,"3/261F, State Bank Raod, Ooty, Nilgiris",11.41129971,76.70752716,"Really enjoyed my stay, would definitely recommend!",2,1315,Family,Girls,Mixed,5,"['Free WiFi', '24-hour front desk']",12:00 AM,1:00 PM
Sri Krishna residency,"['Doddabetta Peak', 'Rose Garden', 'Ooty Lake', 'Botanical Gardens', 'Thread Garden', 'Wax World Museum']",Fair,2,"New Agraharam, Behind Bsc, Commercial Road, Ooty (Udhagamandalam)",11.40911865,76.70568848,"It was okay, but I've definitely had better.",4,1370,Couple,Mixed,Veg Only,3,"['Free WiFi', '24-hour front desk']",12:00 AM,3:00 PM
Hotel Nahar Nilgiris,['Ooty Lake'],Good,3,"52A, Charring Cross Ooty, Elk Hill, Ooty",11.41123104,76.70794678,"Solid choice, though not without its flaws.",1,1732,Couple,Girls,Non-Veg,2,"['Free WiFi', '24-hour front desk']",11:00 AM,2:00 PM
Ooty Travellers Lodge,"['Wax World Museum', 'Ooty Lake', 'Doddabetta Peak']",Very Good,4,"Commercial Road Behind Ooty Coffee House, Ooty (Udhagamandalam)",11.40884113,76.70509338,Impressive! Far better than I had anticipated.,4,1636,Couple,Boys,Non-Veg,5,"['Free WiFi', '24-hour front desk']",10:00 AM,2:00 PM
Charing Cross Hotel,"['Rose Garden', 'Thread Garden', 'Ooty Lake', 'Botanical Gardens', 'Doddabetta Peak']",Very Good,4,"Garden Road, Udhagamandalam",11.41335964,76.70821381,Almost perfect. It's hard to find any fault.,3,1804,Single,Girls,Mixed,5,"['Free WiFi', '24-hour front desk']",12:00 AM,3:00 PM
Hotel Sanjay Tharavadu,"['Doddabetta Peak', 'Wax World Museum']",Poor,1,"Charring Cross, Elk Hill, Ooty",11.41331482,76.70844269,The worst hotel experience I've had in a long time.,3,2955,Single,Girls,Mixed,1,"['Free WiFi', '24-hour front desk']",10:00 AM,2:00 PM
New Star Cottages,"['Rose Garden', 'Botanical Gardens', 'Wax World Museum', 'Thread Garden']",Fair,2,"128, Davisdale, Ootacamund, Nilgiris",11.41272163,76.7041626,"Decent, but I wouldn’t rush back.",1,2722,Single,Girls,Non-Veg,3,"['Free WiFi', '24-hour front desk']",12:00 AM,1:00 PM
"Hotel TamilNadu, Ooty II","['Thread Garden', 'Ooty Lake', 'Botanical Gardens', 'Doddabetta Peak']",Good,3,"Botanical Garden Road, Charring Cross, Ooty-1, Ooty",11.41333008,76.70844269,"A pleasant stay, but I've experienced better.",2,1815,Family,Girls,Mixed,2,"['Free WiFi', '24-hour front desk']",11:00 AM,1:00 PM
Hotel Jaysanthi,"['Botanical Gardens', 'Wax World Museum', 'Ooty Lake', 'Doddabetta Peak', 'Thread Garden']",Fair,2,"Plot Number 175 Opposite Ooty Club, Ooty (Udhagamandalam)",11.41435242,76.70153809,Mediocre at best. I had higher expectations.,2,2230,Couple,Mixed,Veg Only,2,"['Free WiFi', '24-hour front desk']",11:00 AM,1:00 PM
The mystique inn,['Thread Garden'],Poor,1,"Commercial Road, Ooty (Udhagamandalam)",11.40754128,76.70475769,Extremely dissatisfied with the quality of service.,1,2827,Single,Girls,Mixed,1,"['Free WiFi', '24-hour front desk']",11:00 AM,3:00 PM
Hotel Khems,"['Rose Garden', 'Botanical Gardens', 'Thread Garden', 'Ooty Lake', 'Wax World Museum']",Excellent,5,"Vijayanagar Palace Road, Ooty",11.40802956,76.70702362,Outstanding service and quality in every aspect.,3,2980,Couple,Mixed,Non-Veg,4,"['Free WiFi', '24-hour front desk']",10:00 AM,3:00 PM
Vedanta Wake Up!,"['Rose Garden', 'Botanical Gardens', 'Ooty Lake']",Poor,1,"Ettines Road, Near Vijaya Hospital, Ooty",11.41016483,76.70877075,Extremely dissatisfied with the quality of service.,3,2728,Family,Boys,Veg Only,1,"['Free WiFi', '24-hour front desk']",12:00 AM,3:00 PM
Hotel Sri Balaji,"['Rose Garden', 'Thread Garden', 'Ooty Lake']",Excellent,5,"159/1, Road, Ooty, Nilgiris",11.41163826,76.70934296,The epitome of luxury and service. Simply the best.,2,2344,Couple,Boys,Veg Only,4,"['Free WiFi', '24-hour front desk']",10:00 AM,3:00 PM
OYO 19684 Aishwariyaa Gardens,"['Ooty Lake', 'Thread Garden', 'Doddabetta Peak', 'Wax World Museum', 'Rose Garden']",Poor,1,"G 2, Ettines Rd, Ooty",11.40769958,76.7064209,Quite unsatisfactory. Needs a lot of improvement.,4,2446,Single,Boys,Non-Veg,1,"['Free WiFi', '24-hour front desk']",12:00 AM,3:00 PM
Hotel Ess Enn Park,"['Doddabetta Peak', 'Ooty Lake', 'Thread Garden', 'Wax World Museum']",Poor,1,"109 E, Ettines Road, Charring Cross, Old Garden Road, Ooty",11.41042233,76.7088089,"So bad, I checked out earlier than planned.",2,1486,Single,Girls,Mixed,1,"['Free WiFi', '24-hour front desk']",10:00 AM,1:00 PM
Collection O 27661 LYZOO SK RESEDENCY,"['Wax World Museum', 'Botanical Gardens']",Good,3,"Ettiness Road, ऊटी (उदगमंडलम)",11.40739346,76.70624542,"Quite good, a few areas could use improvement.",1,2921,Couple,Boys,Non-Veg,2,"['Free WiFi', '24-hour front desk']",12:00 AM,3:00 PM
Pratham International,"['Wax World Museum', 'Thread Garden', 'Botanical Gardens', 'Rose Garden', 'Ooty Lake', 'Doddabetta Peak']",Very Good,4,"38/121, Shoreham Palace Road, Off Ettiness Road, Near Vijaya Hospital, Bombay Castle, Ooty",11.40995121,76.70909119,"Very good overall, with a few standout aspects.",3,2623,Single,Boys,Mixed,5,"['Free WiFi', '24-hour front desk']",11:00 AM,2:00 PM
Durga Restaurant,"['Doddabetta Peak', 'Wax World Museum', 'Botanical Gardens', 'Rose Garden', 'Ooty Lake', 'Thread Garden']",Very Good,4,"Ettiness Road, Bombay Castle, Ooty",11.41070938,76.70928955,Very satisfied with my stay. Exceeded expectations.,1,2491,Family,Mixed,Veg Only,4,"['Free WiFi', '24-hour front desk']",10:00 AM,1:00 PM
SPOT ON 80061 A K Residency,['Wax World Museum'],Fair,2,"No. 3 New Agraharam Street Commercial Road Behind Commercial Road, Ooty",11.40729046,76.70388794,"An average experience, was expecting something better.",1,1566,Family,Mixed,Veg Only,2,"['Free WiFi', '24-hour front desk']",10:00 AM,3:00 PM
Hotel Landmark,"['Rose Garden', 'Doddabetta Peak', 'Wax World Museum', 'Ooty Lake']",Good,3,"83, Main Bazaar, Ooty, Nilgiris",11.40475941,76.69897461,"Quite good, a few areas could use improvement.",1,2635,Single,Girls,Veg Only,2,"['Free WiFi', '24-hour front desk']",12:00 AM,2:00 PM
